"city","population","total_billed_gallons","US_census_region","Climate_region","Annual.precipitation","Annual.max.temperature","Annual.vapor.pressure.deficit","Family.income.2010","GDP.per.capita.2016","Total.housing.units","Percent.single.family.houses","Percent.medium.density.houses","Percent.high.density.houses","Percent.housing.units.built.1990.or.later","Percent.housing.units.built.between.1950.1989","Percent.housing.units.built.before.1950","Percent.housing.units.built.earlier.to.1990","Median.rooms","Percent.impervious.area","Area.open.NLCD","Area.low.development.NLCD","Area.medium.development.NLCD","Area.high.development.NLCD","Service.area.sq.meters","Pop.density","Water.percap"
"Abilene, Texas",124950,486177333.333333,"South","Temperate",52.2,24.875,22.875,51012,37553,48739,69.1,22.9,4.5,21.9,63.3,14.7,78,5.3,16.4,13874.8,10720.6,6208.8,3755.7,290335000,0.000430364923278282,3890.97505668934
"Aiken, South Carolina",30571,210369265.333333,"South","Temperate",100.9916667,24.19166667,19.53333333,75212,52750,14679,70.2,24.8,3.4,44.8,49.6,7.1,56.7,6,9,7626.2,6274.4,1805.4,573.7,194774000,0.000156956267263598,6881.33411839107
"Alamogordo, New Mexico",31283,102981484.065,"West","Arid",25.575,24.25833333,26.525,49297,57892,14938,69,13.4,0.7,31.2,69.3,4.5,73.8,5.4,14.4,1792,3050.2,965,208.4,56002000,0.000558605049819649,3291.93121072148
"Albuquerque, New Mexico",670779,2354215930,"West","Arid",20.19166667,22.05,24.85,59191,42723,243402,62.5,24,9.5,34.1,57.6,7.2,64.8,5.3,26.9,11553.2,32002.9,24592.5,5344.4,489188000,0.00137120902393354,3509.67446804387
"Altoona, Pennsylvania",52274,179420619.333333,"Northeast","Continental",80.8,15.16666667,10.66666667,48750,37482,20813,72.3,22,5,5.4,37.1,58.7,95.8,6.1,18.9,4855.7,6346.8,3384.4,1673.1,131990000,0.00039604515493598,3432.31088750303
"Amarillo, Texas",214338,2892715250,"South","Arid",41.40833333,21.51666667,21.175,55067,45788,83785,71.7,17.6,6.8,23.2,62.3,14.9,77.2,5.1,25.2,7145.7,19825.2,7535.3,4717.4,266556000,0.00080410120199883,13496.0447984025
"Annapolis, Maryland",39420,89942250,"South","Temperate",97.575,18.08333333,12.55833333,88646,58970,17358,37.1,50.6,12.4,23.7,55.4,19.9,75.3,5.3,32.4,780.5,1572.5,1125.2,393.7,20991700,0.00187788506886055,2281.6400304414
"Arlington, Texas",370759,1386505416.66667,"South","Temperate",82.51666667,24.65,20.425,61068,63660,147407,60.1,29.6,9,31.7,65.3,1.7,67,5.2,34.8,12585.8,18430.1,13634.6,6999.2,257718000,0.00143862283581279,3739.64062009733
"Asheville, North Carolina",125000,455927193.333333,"South","Temperate",79.59166667,19.30833333,13.31666667,53439,36925,43856,54.6,31.3,10,29.9,44.3,26.2,70.5,5,9.8,36381.8,12329.8,5598.9,2036.7,472590000,0.000264499883620051,3647.41754666667
"Auburn, Maine",17220,79988583.3333333,"Northeast","Continental",97.875,12.85,9.55,56656,33300,10857,52.4,36.3,9.4,12.5,37.6,49.3,86.9,5.3,26.6,2097.3,1885.5,1387.7,852.8,37249400,0.000462289325465645,4645.09775454897
"Augusta, Maine",18537,53210833.3333333,"Northeast","Continental",94.21666667,12.78333333,9.241666667,51941,41017,9836,50.9,37.6,7.3,11.6,49,37.3,86.3,5,17.3,2192.3,2009.5,1558.7,826.2,60108600,0.000308391810822411,2870.52022081962
"Aurora, Colorado",355441,1179312894.16667,"West","Continental",38.16666667,17.86666667,17.75,58094,62947,132931,50.9,33.9,13.4,30,67.3,2,69.3,5.4,18.8,10323.9,15968.9,13012.6,4532.1,399393000,0.000889953003683089,3317.88649639931
"Austin, Texas",1006601,3309745618.08333,"South","Temperate",72.775,26.39166667,22.125,63997,61308,393616,46.9,30.4,21.3,41.7,50.9,5.6,56.5,4.5,15.4,53956,36432,34782.1,17889,1418780000,0.000709483499908372,3288.04125774099
"Bangor, Maine",32333,99371862.3333333,"Northeast","Continental",87.15833333,12.33333333,9.1,56955,34340,15709,42.5,43.6,8.6,14.4,41.4,42.3,83.7,5,21.7,2811,2841.9,3002.8,1893.3,89599600,0.000360860985986545,3073.38825142527
"Baytown, Texas",75310,292433500,"South","Temperate",121.0833333,25.8,16.14166667,54843,57137,29356,60.7,25.4,8.3,30,55.9,12.9,68.8,5.1,28,4731.67,4931.33,4335.91,2058.23,96827100,0.000777778122034017,3883.0633382021
"Belgrade, Montana",8254,35402083.3333333,"West","Continental",29.66666667,14.1,13.84166667,51943,42615,3238,49.3,40.3,3.2,53.2,38.5,5,43.5,5.4,25.5,273,559.3,596.6,43,9860680,0.000837061947046248,4289.08206122284
"Bend, Oregon",61790,367726317.041667,"West","Arid",24.06666667,15.64166667,14.4,64128,46604,38970,68.6,21,5.4,60.2,33.5,5.5,39,5.3,22.9,3782.9,6136.9,1799.7,344.1,68356200,0.000903941412776017,5951.22701151751
